checkpoint,n0_base,n5_layers,n92_layers,2d_static,2e_k10_static,2e_k50_static
baseline,347.15,194.31,193.04,180.75,186.48,186.27
checkpoint_001,414.52,231.27,192.53,194.57,201.77,215.39
checkpoint_002,453.55,250.00,265.22,255.50,241.02,263.43
checkpoint_003,465.21,370.73,293.40,328.92,333.84,294.30
checkpoint_004,479.84,279.25,251.43,255.25,243.74,260.57
checkpoint_005,589.02,274.06,250.93,312.84,277.44,278.52
checkpoint_006,476.49,270.07,296.60,254.88,252.62,256.18
checkpoint_007,481.70,265.10,228.40,230.86,255.54,277.97
checkpoint_008,610.32,305.25,303.69,322.17,285.39,323.35
checkpoint_009,567.30,251.35,232.53,296.55,245.91,245.35
checkpoint_010,460.77,208.64,225.80,262.59,221.41,198.08
