label,operation_count,inserted_total,deleted_total,row_count,page_size,page_count,freelist_count_header,interior_total,interior_table,interior_index,leaf_total,leaf_table,leaf_index,freelist_total_classified,overflow,interior_pct,new_interior_count,removed_interior_count,new_min_page,new_max_page,new_appended_count,new_in_file_count,new_reused_freelist_count,new_pages_preview,removed_pages_preview
baseline,0,0,0,600000,4096,26331,0,92,51,41,26239,19984,6255,0,0,0.34939804792829743,,,,,,,,,
checkpoint_001,5000,0,0,600000,4096,26422,0,92,51,41,26330,20053,6277,0,0,0.3481946862463099,0,0,,,0,0,0,,
checkpoint_002,10000,0,0,600000,4096,26480,0,93,51,42,26387,20095,6292,0,0,0.3512084592145015,1,0,26447,26447,1,0,0,26447,
checkpoint_003,15000,0,0,600000,4096,26501,0,93,51,42,26408,20102,6306,0,0,0.3509301535791102,0,0,,,0,0,0,,
checkpoint_004,20000,0,0,600000,4096,26521,0,93,51,42,26428,20107,6321,0,0,0.3506655103502884,0,0,,,0,0,0,,
checkpoint_005,25000,0,0,600000,4096,26535,0,93,51,42,26442,20109,6333,0,0,0.3504804974561899,0,0,,,0,0,0,,
checkpoint_006,30000,0,0,600000,4096,26550,0,93,51,42,26457,20112,6345,0,0,0.3502824858757062,0,0,,,0,0,0,,
checkpoint_007,35000,0,0,600000,4096,26564,0,93,51,42,26471,20115,6356,0,0,0.35009787682577925,0,0,,,0,0,0,,
checkpoint_008,40000,0,0,600000,4096,26577,0,93,51,42,26484,20120,6364,0,0,0.3499266282876171,0,0,,,0,0,0,,
checkpoint_009,45000,0,0,600000,4096,26598,0,93,51,42,26505,20129,6376,0,0,0.34965034965034963,0,0,,,0,0,0,,
checkpoint_010,50000,0,0,600000,4096,26619,0,93,51,42,26526,20144,6382,0,0,0.3493745069311394,0,0,,,0,0,0,,
