label,operation_count,hot_key_coverage,covered_ops,read_ops,frozen_leaves,dead_frozen_leaves,leaf_pages_now
baseline,0,0.24145,4829,20000,10,0,19983
checkpoint_001,5000,0.2305,4610,20000,10,0,20855
checkpoint_002,10000,0.11215,2243,20000,10,0,21044
checkpoint_003,15000,0.0647,1294,20000,10,0,21212
checkpoint_004,20000,0.0489,978,20000,10,0,21392
checkpoint_005,25000,0.04885,977,20000,10,0,21576
checkpoint_006,30000,0.0489,978,20000,10,0,21741
checkpoint_007,35000,0.04885,977,20000,10,0,21907
checkpoint_008,40000,0.0394,788,20000,10,1,22029
checkpoint_009,45000,0.00885,177,20000,10,1,22164
checkpoint_010,50000,0.00895,179,20000,10,1,22298
