workload,db,strategy,arm,metric,n_seeds,mean_pct,median_pct,ci_lo,ci_hi,min_pct,max_pct,sign_consistency,verdict,per_seed
C,orig,2d,async,e2e_us,10,-19.02,-19.12,-21.16,-17.0,-25.6,-13.57,10/10,robust,seed01=-16.0;seed02=-13.6;seed03=-21.7;seed04=-25.6;seed05=-19.0;seed06=-16.3;seed07=-19.3;seed08=-22.5;seed09=-17.1;seed10=-19.3
C,orig,2d,async,e2e_warm_us,10,-35.89,-35.62,-38.02,-33.84,-41.73,-31.57,10/10,robust,seed01=-31.9;seed02=-31.6;seed03=-38.9;seed04=-41.7;seed05=-34.1;seed06=-33.0;seed07=-32.9;seed08=-39.1;seed09=-37.2;seed10=-38.6
C,orig,2d,async,first_query_us,10,-43.34,-43.3,-45.79,-40.92,-49.65,-38.29,10/10,robust,seed01=-38.3;seed02=-39.0;seed03=-46.9;seed04=-49.7;seed05=-41.3;seed06=-39.6;seed07=-39.5;seed08=-47.4;seed09=-45.3;seed10=-46.5
C,orig,2d,pread,e2e_us,10,10.14,10.91,8.53,11.66,6.06,13.13,10/10,robust,seed01=11.6;seed02=13.1;seed03=10.1;seed04=6.1;seed05=7.6;seed06=11.3;seed07=6.1;seed08=10.6;seed09=12.7;seed10=12.3
C,orig,2d,pread,e2e_warm_us,10,-6.57,-7.08,-7.63,-5.42,-9.71,-2.75,10/10,robust,seed01=-4.9;seed02=-2.7;seed03=-7.6;seed04=-9.7;seed05=-7.3;seed06=-5.6;seed07=-7.1;seed08=-5.9;seed09=-7.8;seed10=-7.0
C,orig,2d,pread,first_query_us,10,-44.27,-45.43,-46.81,-41.63,-49.52,-38.46,10/10,robust,seed01=-38.5;seed02=-39.8;seed03=-49.1;seed04=-49.5;seed05=-44.4;seed06=-39.2;seed07=-39.9;seed08=-47.7;seed09=-48.2;seed10=-46.5
C,orig,2e_K10,async,e2e_us,10,-37.35,-48.78,-48.76,-25.49,-59.24,-10.33,10/10,robust,seed01=-59.2;seed02=-10.3;seed03=-52.9;seed04=-54.1;seed05=-14.2;seed06=-15.0;seed07=-19.1;seed08=-48.8;seed09=-48.7;seed10=-51.0
C,orig,2e_K10,async,e2e_warm_us,10,-54.5,-68.92,-66.56,-42.19,-75.35,-28.43,10/10,robust,seed01=-75.3;seed02=-28.4;seed03=-69.6;seed04=-70.0;seed05=-29.2;seed06=-31.9;seed07=-32.4;seed08=-69.1;seed09=-68.7;seed10=-70.3
C,orig,2e_K10,async,first_query_us,10,-63.12,-78.43,-75.43,-50.61,-82.75,-36.8,10/10,robust,seed01=-82.7;seed02=-36.8;seed03=-78.8;seed04=-79.1;seed05=-37.7;seed06=-39.6;seed07=-40.1;seed08=-78.4;seed09=-78.5;seed10=-79.5
C,orig,2e_K10,pread,e2e_us,10,79.86,80.43,70.18,88.86,46.07,105.56,10/10,robust,seed01=46.1;seed02=105.6;seed03=72.8;seed04=73.4;seed05=96.9;seed06=87.9;seed07=83.8;seed08=79.4;seed09=81.4;seed10=71.4
C,orig,2e_K10,pread,e2e_warm_us,10,62.21,58.55,52.53,71.52,29.88,87.4,10/10,robust,seed01=29.9;seed02=87.4;seed03=54.6;seed04=57.7;seed05=81.9;seed06=70.8;seed07=70.5;seed08=59.3;seed09=57.8;seed10=52.2
C,orig,2e_K10,pread,first_query_us,10,-63.41,-78.63,-75.61,-50.93,-82.87,-34.29,10/10,robust,seed01=-82.9;seed02=-34.3;seed03=-79.2;seed04=-79.0;seed05=-39.9;seed06=-42.5;seed07=-39.7;seed08=-78.9;seed09=-78.4;seed10=-79.3
C,orig,2f_slru,async,e2e_us,10,10.03,10.57,4.42,15.68,-2.47,25.12,8/10,robust,seed01=0.1;seed02=6.2;seed03=12.7;seed04=13.3;seed05=8.4;seed06=-2.5;seed07=-2.2;seed08=25.1;seed09=21.9;seed10=17.2
C,orig,2f_slru,async,e2e_warm_us,10,-7.06,-5.08,-11.83,-2.45,-19.38,4.99,8/10,robust,seed01=-16.1;seed02=-11.4;seed03=-3.4;seed04=-2.5;seed05=-6.8;seed06=-19.4;seed07=-15.5;seed08=5.0;seed09=1.7;seed10=-2.2
C,orig,2f_slru,async,first_query_us,10,-89.62,-89.31,-90.1,-89.19,-90.78,-88.78,10/10,robust,seed01=-90.8;seed02=-89.7;seed03=-89.1;seed04=-89.0;seed05=-89.5;seed06=-90.8;seed07=-90.5;seed08=-89.0;seed09=-88.8;seed10=-89.1
C,orig,2f_slru,pread,e2e_us,10,216.26,214.74,198.65,234.13,176.36,257.76,10/10,robust,seed01=186.4;seed02=203.1;seed03=250.1;seed04=232.8;seed05=199.2;seed06=176.4;seed07=181.5;seed08=257.8;seed09=249.0;seed10=226.4
C,orig,2f_slru,pread,e2e_warm_us,10,199.14,196.31,182.43,216.16,159.5,237.69,10/10,robust,seed01=170.4;seed02=185.6;seed03=233.2;seed04=216.7;seed05=184.3;seed06=159.5;seed07=168.0;seed08=237.7;seed09=229.0;seed10=207.0
C,orig,2f_slru,pread,first_query_us,10,-89.62,-89.29,-90.16,-89.14,-91.0,-88.62,10/10,robust,seed01=-90.9;seed02=-89.3;seed03=-89.0;seed04=-89.3;seed05=-89.7;seed06=-90.6;seed07=-91.0;seed08=-88.6;seed09=-88.8;seed10=-89.2
C,orig,2f_top14,async,e2e_us,10,-38.1,-48.88,-48.96,-26.79,-59.51,-12.86,10/10,robust,seed01=-59.5;seed02=-12.9;seed03=-52.2;seed04=-54.4;seed05=-14.0;seed06=-20.7;seed07=-18.9;seed08=-48.8;seed09=-48.9;seed10=-50.7
C,orig,2f_top14,async,e2e_warm_us,10,-55.25,-69.17,-66.84,-43.19,-75.59,-28.84,10/10,robust,seed01=-75.6;seed02=-30.9;seed03=-69.3;seed04=-69.9;seed05=-28.8;seed06=-37.6;seed07=-31.8;seed08=-69.0;seed09=-69.4;seed10=-70.2
C,orig,2f_top14,async,first_query_us,10,-63.84,-78.49,-75.64,-51.59,-83.0,-37.26,10/10,robust,seed01=-83.0;seed02=-39.4;seed03=-78.6;seed04=-79.2;seed05=-37.3;seed06=-45.3;seed07=-39.5;seed08=-78.3;seed09=-78.6;seed10=-79.2
C,orig,2f_top14,pread,e2e_us,10,63.78,64.23,55.07,72.3,36.39,90.93,10/10,robust,seed01=36.4;seed02=90.9;seed03=59.8;seed04=59.8;seed05=47.7;seed06=74.2;seed07=70.5;seed08=66.5;seed09=70.0;seed10=62.0
C,orig,2f_top14,pread,e2e_warm_us,10,46.83,45.28,38.4,55.2,20.35,72.78,10/10,robust,seed01=20.3;seed02=72.8;seed03=43.3;seed04=44.0;seed05=32.5;seed06=58.9;seed07=57.1;seed08=46.5;seed09=49.9;seed10=42.8
C,orig,2f_top14,pread,first_query_us,10,-67.61,-78.89,-78.92,-55.59,-83.02,-39.08,10/10,robust,seed01=-83.0;seed02=-39.1;seed03=-78.9;seed04=-79.2;seed05=-79.2;seed06=-40.0;seed07=-40.3;seed08=-78.9;seed09=-78.4;seed10=-79.0
C,orig,2f_top28,async,e2e_us,10,-41.26,-48.0,-50.44,-30.99,-57.83,-13.66,10/10,robust,seed01=-57.8;seed02=-13.7;seed03=-51.7;seed04=-52.7;seed05=-55.2;seed06=-21.4;seed07=-17.6;seed08=-46.5;seed09=-47.2;seed10=-48.8
C,orig,2f_top28,async,e2e_warm_us,10,-58.3,-67.57,-68.08,-47.37,-73.86,-30.65,10/10,robust,seed01=-73.9;seed02=-30.7;seed03=-67.8;seed04=-68.3;seed05=-70.2;seed06=-38.5;seed07=-31.0;seed08=-67.2;seed09=-67.3;seed10=-68.2
C,orig,2f_top28,async,first_query_us,10,-68.86,-78.99,-79.25,-57.75,-82.84,-40.41,10/10,robust,seed01=-82.8;seed02=-41.7;seed03=-79.1;seed04=-79.3;seed05=-80.3;seed06=-48.0;seed07=-40.4;seed08=-78.6;seed09=-78.8;seed10=-79.3
C,orig,2f_top28,pread,e2e_us,10,63.44,62.91,54.12,72.65,34.78,91.48,10/10,robust,seed01=34.8;seed02=91.5;seed03=58.5;seed04=60.9;seed05=47.6;seed06=79.2;seed07=69.5;seed08=65.0;seed09=70.7;seed10=56.9
C,orig,2f_top28,pread,e2e_warm_us,10,46.5,44.89,37.33,55.74,18.54,74.99,10/10,robust,seed01=18.5;seed02=75.0;seed03=42.2;seed04=45.2;seed05=32.9;seed06=62.3;seed07=56.1;seed08=44.6;seed09=50.4;seed10=37.7
C,orig,2f_top28,pread,first_query_us,10,-67.84,-78.83,-79.17,-55.86,-82.69,-39.1,10/10,robust,seed01=-82.7;seed02=-39.2;seed03=-79.0;seed04=-79.2;seed05=-80.7;seed06=-39.1;seed07=-41.9;seed08=-78.7;seed09=-78.5;seed10=-79.4
C,orig,leaf_freq_K10,async,e2e_us,10,13.93,6.38,3.85,24.29,-13.14,38.38,9/10,robust,seed01=-13.1;seed02=37.0;seed03=2.7;seed04=1.1;seed05=38.4;seed06=29.4;seed07=26.8;seed08=4.3;seed09=8.3;seed10=4.4
C,orig,leaf_freq_K10,async,e2e_warm_us,10,-3.06,-12.58,-13.54,7.86,-29.22,23.53,6/10,tie,seed01=-29.2;seed02=18.9;seed03=-13.3;seed04=-14.4;seed05=23.5;seed06=12.4;seed07=13.5;seed08=-15.4;seed09=-11.8;seed10=-14.8
C,orig,leaf_freq_K10,async,first_query_us,10,-11.14,-21.27,-21.67,-0.1,-36.16,15.57,6/10,robust,seed01=-36.2;seed02=10.8;seed03=-21.8;seed04=-23.2;seed05=15.6;seed06=5.1;seed07=6.4;seed08=-24.2;seed09=-20.7;seed10=-23.3
C,orig,leaf_freq_K10,pread,e2e_us,10,84.39,82.96,73.34,94.34,44.52,108.37,10/10,robust,seed01=44.5;seed02=108.4;seed03=80.4;seed04=73.5;seed05=105.8;seed06=95.9;seed07=91.2;seed08=85.0;seed09=81.0;seed10=78.3
C,orig,leaf_freq_K10,pread,e2e_warm_us,10,67.13,63.99,55.98,77.43,28.43,90.89,10/10,robust,seed01=28.4;seed02=90.3;seed03=62.7;seed04=57.2;seed05=90.9;seed06=79.0;seed07=77.8;seed08=65.3;seed09=60.7;seed10=58.9
C,orig,leaf_freq_K10,pread,first_query_us,10,-11.98,-21.92,-22.7,-0.93,-37.29,12.6,6/10,robust,seed01=-37.3;seed02=5.9;seed03=-22.8;seed04=-23.4;seed05=12.6;seed06=8.8;seed07=7.7;seed08=-21.6;seed09=-22.2;seed10=-27.4
C,orig,leaf_rand_K10,async,e2e_us,10,24.21,23.42,21.74,27.08,17.95,33.77,10/10,robust,seed01=22.4;seed02=33.8;seed03=25.4;seed04=21.4;seed05=20.2;seed06=22.4;seed07=18.0;seed08=24.4;seed09=28.5;seed10=25.6
C,orig,leaf_rand_K10,async,e2e_warm_us,10,7.35,6.33,5.81,9.64,4.79,16.47,10/10,robust,seed01=6.2;seed02=16.5;seed03=7.3;seed04=5.4;seed05=5.2;seed06=5.6;seed07=4.8;seed08=7.8;seed09=8.4;seed10=6.5
C,orig,leaf_rand_K10,async,first_query_us,10,-0.9,-1.66,-2.36,1.38,-3.49,8.38,9/10,directional,seed01=-1.0;seed02=8.4;seed03=-1.6;seed04=-3.5;seed05=-3.1;seed06=-1.7;seed07=-2.5;seed08=-1.3;seed09=-0.6;seed10=-2.2
C,orig,leaf_rand_K10,pread,e2e_us,10,107.95,109.65,101.91,114.03,93.27,119.64,10/10,robust,seed01=97.7;seed02=119.0;seed03=110.6;seed04=96.3;seed05=108.7;seed06=100.3;seed07=93.3;seed08=114.9;seed09=119.1;seed10=119.6
C,orig,leaf_rand_K10,pread,e2e_warm_us,10,91.09,93.46,85.92,96.28,79.9,100.94,10/10,robust,seed01=81.6;seed02=100.9;seed03=94.7;seed04=80.5;seed05=92.2;seed06=83.4;seed07=79.9;seed08=98.3;seed09=99.2;seed10=100.2
C,orig,leaf_rand_K10,pread,first_query_us,10,-1.18,-1.85,-2.49,0.43,-4.88,4.97,8/10,directional,seed01=-1.3;seed02=5.0;seed03=-2.0;seed04=-4.9;seed05=-2.1;seed06=-1.9;seed07=0.1;seed08=-0.3;seed09=-2.6;seed10=-1.8
