workload,checkpoint,strategy,n_seeds,mean_us,ci95_us,min_us,max_us
YD,0,2e_K10_static,10,267.3,110.0,90.5,441.1
YD,1,2e_K10_static,10,419.7,28.2,338.7,482.0
YD,2,2e_K10_static,10,369.5,81.6,121.7,470.5
YD,3,2e_K10_static,10,320.5,103.7,96.7,469.0
YD,4,2e_K10_static,10,324.6,93.7,131.2,490.1
YD,5,2e_K10_static,10,312.9,100.0,120.5,477.6
YD,6,2e_K10_static,10,306.2,96.0,124.9,443.9
YD,7,2e_K10_static,10,312.0,99.9,119.8,471.2
YD,8,2e_K10_static,10,319.7,93.0,91.5,462.0
YD,9,2e_K10_static,10,363.1,75.6,131.7,448.4
YD,10,2e_K10_static,10,382.4,77.6,141.8,451.6
YD,0,baseline,10,538.4,16.4,499.2,576.3
YD,1,baseline,10,510.8,62.3,352.0,639.2
YD,2,baseline,10,552.6,26.2,474.9,615.0
YD,3,baseline,10,561.9,28.0,511.8,658.9
YD,4,baseline,10,560.4,25.7,484.2,621.0
YD,5,baseline,10,557.1,30.8,479.6,636.8
YD,6,baseline,10,536.0,22.9,479.6,585.0
YD,7,baseline,10,567.7,34.8,485.0,656.6
YD,8,baseline,10,554.6,24.8,496.8,621.2
YD,9,baseline,10,549.2,28.1,470.4,618.4
YD,10,baseline,10,570.5,23.8,518.0,620.9
YD,0,layers_92_static,10,251.6,8.6,227.1,268.2
YD,1,layers_92_static,10,250.0,18.9,173.4,283.2
YD,2,layers_92_static,10,261.5,14.4,216.0,311.3
YD,3,layers_92_static,10,278.5,15.2,251.1,312.5
YD,4,layers_92_static,10,274.6,16.3,233.1,317.6
YD,5,layers_92_static,10,265.2,20.6,213.3,307.6
YD,6,layers_92_static,10,243.9,10.2,222.4,268.8
YD,7,layers_92_static,10,267.1,27.2,216.2,326.4
YD,8,layers_92_static,10,262.2,18.0,213.2,315.4
YD,9,layers_92_static,10,255.9,17.8,217.3,311.5
YD,10,layers_92_static,10,270.1,12.2,245.0,305.4
YE,0,2e_K10_static,10,259.9,3.4,248.1,265.2
YE,1,2e_K10_static,10,212.0,48.6,93.4,266.1
YE,2,2e_K10_static,10,186.8,60.7,91.5,324.9
YE,3,2e_K10_static,10,202.1,56.4,95.6,295.2
YE,4,2e_K10_static,10,244.1,50.3,90.5,322.8
YE,5,2e_K10_static,10,242.7,49.9,95.3,315.7
YE,6,2e_K10_static,10,206.3,60.8,89.7,311.0
YE,7,2e_K10_static,10,236.3,61.8,93.0,324.5
YE,8,2e_K10_static,10,288.0,21.1,252.9,355.6
YE,9,2e_K10_static,10,269.9,40.9,99.3,339.3
YE,10,2e_K10_static,10,273.1,39.3,100.5,326.7
YE,0,baseline,10,550.1,16.2,520.9,602.6
YE,1,baseline,10,548.0,22.1,510.0,623.0
YE,2,baseline,10,537.5,50.5,359.4,647.5
YE,3,baseline,10,529.4,37.4,369.6,586.8
YE,4,baseline,10,554.7,23.9,519.1,647.9
YE,5,baseline,10,545.4,62.0,339.3,651.0
YE,6,baseline,10,555.0,46.5,375.8,651.8
YE,7,baseline,10,544.0,61.2,337.2,665.5
YE,8,baseline,10,555.5,45.9,367.5,613.9
YE,9,baseline,10,591.8,38.7,524.1,704.1
YE,10,baseline,10,600.6,42.6,512.1,685.3
YE,0,layers_92_static,10,260.2,2.9,253.0,266.6
YE,1,layers_92_static,10,260.6,2.2,255.2,265.9
YE,2,layers_92_static,10,272.0,13.4,249.7,326.1
YE,3,layers_92_static,10,263.2,6.9,251.1,285.9
YE,4,layers_92_static,10,273.6,13.0,252.1,322.1
YE,5,layers_92_static,10,281.6,21.7,249.8,362.9
YE,6,layers_92_static,10,280.3,14.4,257.8,316.4
YE,7,layers_92_static,10,286.8,20.6,242.8,354.5
YE,8,layers_92_static,10,286.8,21.3,250.2,358.3
YE,9,layers_92_static,10,292.5,18.8,260.4,360.5
YE,10,layers_92_static,10,292.2,19.5,257.7,359.7
