workload,arm,test_seed,first_op_key,first_op_hitmiss,first_op_leaf,n_sel_leaves,first_op_covered,hot_leaf_used_pct,precision_pct
C_hit,learned_markov,1,583230,HIT,25600,11,0,100,100
C_hit,frequency,1,583230,HIT,25600,11,0,100,100
C_hit,2e_K10,1,583230,HIT,25600,10,1,100,100
C_hit,2f_top14,1,583230,HIT,25600,11,0,100,100
C_hit,learned_markov,2,583120,HIT,25594,11,0,100,100
C_hit,frequency,2,583120,HIT,25594,11,0,100,100
C_hit,2e_K10,2,583120,HIT,25594,10,1,100,100
C_hit,2f_top14,2,583120,HIT,25594,11,0,100,100
C_hit,learned_markov,3,599878,HIT,26326,11,0,100,100
C_hit,frequency,3,599878,HIT,26326,11,0,100,100
C_hit,2e_K10,3,599878,HIT,26326,10,1,100,100
C_hit,2f_top14,3,599878,HIT,26326,11,0,100,100
C_hit,learned_markov,4,592279,HIT,25999,11,0,100,100
C_hit,frequency,4,592279,HIT,25999,11,0,100,100
C_hit,2e_K10,4,592279,HIT,25999,10,1,100,100
C_hit,2f_top14,4,592279,HIT,25999,11,0,100,100
C_hit,learned_markov,5,580665,HIT,25486,11,0,100,100
C_hit,frequency,5,580665,HIT,25486,11,0,100,100
C_hit,2e_K10,5,580665,HIT,25486,10,1,100,100
C_hit,2f_top14,5,580665,HIT,25486,11,0,100,100
C_hit,learned_markov,6,587783,HIT,25797,11,0,100,100
C_hit,frequency,6,587783,HIT,25797,11,0,100,100
C_hit,2e_K10,6,587783,HIT,25797,10,1,100,100
C_hit,2f_top14,6,587783,HIT,25797,11,0,100,100
C_hit,learned_markov,7,586568,HIT,25748,11,0,100,100
C_hit,frequency,7,586568,HIT,25748,11,0,100,100
C_hit,2e_K10,7,586568,HIT,25748,10,1,100,100
C_hit,2f_top14,7,586568,HIT,25748,11,0,100,100
C_hit,learned_markov,8,596289,HIT,26169,11,0,100,100
C_hit,frequency,8,596289,HIT,26169,11,0,100,100
C_hit,2e_K10,8,596289,HIT,26169,10,1,100,100
C_hit,2f_top14,8,596289,HIT,26169,11,0,100,100
C_hit,learned_markov,9,596725,HIT,26190,11,0,100,100
C_hit,frequency,9,596725,HIT,26190,11,0,100,100
C_hit,2e_K10,9,596725,HIT,26190,10,1,100,100
C_hit,2f_top14,9,596725,HIT,26190,11,0,100,100
C_hit,learned_markov,10,596699,HIT,26188,11,0,100,100
C_hit,frequency,10,596699,HIT,26188,11,0,100,100
C_hit,2e_K10,10,596699,HIT,26188,10,1,100,100
C_hit,2f_top14,10,596699,HIT,26188,11,0,100,100
